doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence;source
0;20.03.26 22:34;"The fight against Energy Transfer’s meritless lawsuit continues! We know that the law; truth; and justice are on our side. But we need your urgent support - join Greenpeace USA today & fight for our planet’s future.";https://raw.githubusercontent.com/seefa13/Pictures_DICE_Exp/main/Greenpeace_Post.jpg;"";120;375;997;Greenpeace;greenpeaceusa;;;0;;;;DT;;https://www.facebook.com/ads/library/?id=2715790332115901
1;15.03.26 14:03;"Investing in education is more cost-effective than paying for its absence. As Ministers gather at UNESCO for the G7 French Presidency High-Level Policy Debate on Sustainable Education Financing; we call for ambitious commitments to address the education financing crisis.";https://raw.githubusercontent.com/seefa13/Pictures_DICE_Exp/main/UNESCO__Post.jpg;"";379;832;339;UNESCO;unesco;;;0;;;;DT;;https://x.com/UNESCO/status/2032344003979407480/photo/1
2;20.03.26 12:07;Dedication reveals the path ahead. A tribute to the pursuit. The new BMW 7. Coming soon.;https://raw.githubusercontent.com/seefa13/Pictures_DICE_Exp/main/BMW_Post.jpg;"";372;959;615;BMW;bmw;;;0;;;;DT;;https://www.facebook.com/photo/?fbid=1435302028641946&set=a.720904863415003
3;21.03.26 07:25;The new Apple MacBook Neo.;https://raw.githubusercontent.com/seefa13/Pictures_DICE_Exp/main/Apple_Post.jpg;"";226;323;164;Apple;apple;;;0;;;;DT;;https://www.facebook.com/photo/?fbid=1433802888783264&set=a.712381784258715
4;16.03.26 02:42;Victory is a State of Mind. A long tradition of crafting trunks.;https://raw.githubusercontent.com/seefa13/Pictures_DICE_Exp/main/Cristiano_Post.jpg;"";177;718;600;Cristiano Ronaldo;cristiano;;;0;;;;DT;;https://x.com/Cristiano/status/1594026532934414336/photo/1
5;19.03.26 18:34;Help us fight the decline in donors and help patients in need!;https://raw.githubusercontent.com/seefa13/Pictures_DICE_Exp/main/DeclineSimple_coloredpost.jpg;Decline in donors;676;783;578;American Red Cross;americanredcross;;;0;;;;DT;;""
6;19.03.26 08:01;My favorite part about writing is that first spark of an idea.;;;909;311;199;Taylor Swift;taylorswift;;;0;;;;DT;;""
7;19.03.26 10:54;Surround yourself with people that reflect who you want to be and how you want to feel. Energy is contagious.;;;734;437;512;Kaya Itsines;kayla_itsines;;;0;;;;DT;;https://x.com/kayla_itsines
8;16.03.26 18:06;Chicken Noodle Soup got us feeling like....chicken noodle soup for lunch!;https://raw.githubusercontent.com/seefa13/Pictures_DICE_Exp/main/JamieOliver_Post.jpg;"";652;664;81;Jamie Oliver;jamieoliver;;;0;;;;DT;;https://x.com/jamieoliver/status/1177537625957249025/photo/1
9;20.03.26 20:58;;https://raw.githubusercontent.com/seefa13/Pictures_DICE_Exp/main/jeenieweenie_Post.jpg;"";508;957;488;Jeenie Weenie;jeenie.weenie;;;0;;;;DT;;https://www.facebook.com/photo.php?fbid=1127259202953191&set=pb.100070073653413.-2207520000&type=3
